FEATURE_ID,FEATURE_NA,LATITUDE,LONGITUDE,OID_,FEATURE__1,FEATURE__2,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIMARY_LO,PRIMARY__1,PRIMARY__2,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEVATION,MAP_NAME
      909915.000000,Quaking Aspen Creek,          33.451452,        -108.498113,34890,909915,Quaking Aspen Creek,Stream,NM,35,Catron,3,332705N,1082953W,                 33,               -108,332852N,1083828W,33.48117,-108.641,2258,Loco Moun
      909957.000000,Rafael Creek,          36.714469,        -103.330221,34891,909957,Rafael Creek,Stream,NM,35,Union,59,364252N,1031949W,                 37,               -103,363901N,1034057W,36.6503,-103.682,1573,McLaughli
      909962.000000,Rain Creek,          33.171455,        -108.651723,34892,909962,Rain Creek,Stream,NM,35,Catron,3,331017N,1083906W,                 33,               -109,331745N,1083858W,33.2959,-108.65,1661,Rice Ranc
      910037.000000,Red Arroyo,          32.873143,        -106.048323,34893,910037,Red Arroyo,Stream,NM,35,Otero,35,325223N,1060254W,                 33,               -106,325459N,1055950W,32.91648,-105.997,1255,Holloman
      910156.000000,Ricardo Creek,          36.973636,        -105.128891,34894,910156,Ricardo Creek,Stream,NM,35,Colfax,7,365825N,1050744W,                 37,               -105,370328N,1051207W,37.0578,-105.202,2547,The Wall
      910213.000000,Rinconada Creek,          33.210082,        -105.907212,34895,910213,Rinconada Creek,Stream,NM,35,Otero,35,331236N,1055426W,                 33,               -106,331937N,1055132W,33.32702,-105.859,1680,Tularosa
      910214.000000,Rinconada Creek,          35.054486,        -107.616163,34896,910214,Rinconada Creek,Stream,NM,35,Cibola,6,350316N,1073658W,                 35,               -108,351344N,1073606W,35.22893,-107.602,1847,Cubero
      910223.000000,Rio de las Vacas,          35.819745,        -106.788093,34897,910223,Rio de las Vacas,Stream,NM,35,Sandoval,43,354911N,1064717W,                 36,               -107,360712N,1064928W,36.12002,-106.824,2193,San Migue
      910224.000000,Rio de los Pinos,          36.998070,        -106.035577,34898,910224,Rio de los Pinos,Stream,NM,35,Rio Arrib,39,365953N,1060208W,                 37,               -106,370644N,1063000W,37.11223,-106.5,2428,Los Pinos
      910225.000000,Rio de Arenas,          32.671189,        -108.219213,34899,910225,Rio de Arenas,Stream,NM,35,Grant,17,324016N,1081309W,                 33,               -108,325250N,1081217W,32.88063,-108.205,1653,Hurley We
      910226.000000,Rio del Oso,          36.111688,        -106.149469,34900,910226,Rio del Oso,Stream,NM,35,Rio Arrib,39,360642N,1060858W,                 36,               -106,360223N,1062214W,36.03974,-106.371,1745,Chili
      910228.000000,Rio la Casa,          35.980867,        -105.357236,34901,910228,Rio la Casa,Stream,NM,35,Mora,33,355851N,1052126W,                 36,               -105,355923N,1052625W,35.98975,-105.44,2222,Mora
      910231.000000,Rio Brazos,          36.736681,        -106.575313,34902,910231,Rio Brazos,Stream,NM,35,Rio Arrib,39,364412N,1063431W,                 37,               -107,365230N,1062229W,36.87501,-106.375,2221,Tierra Am
      910232.000000,Rio Capulin,          36.240295,        -106.855041,34903,910232,Rio Capulin,Stream,NM,35,Rio Arrib,39,361425N,1065118W,                 36,               -107,360805N,1064847W,36.13472,-106.813,2207,Gallina
      910234.000000,Rio Cebolla,          36.461404,        -106.705870,34904,910234,Rio Cebolla,Stream,NM,35,Rio Arrib,39,362741N,1064221W,                 36,               -107,363428N,1062406W,36.57446,-106.402,1983,Navajo Pe
      910236.000000,Rio Chiquito,          36.178914,        -105.703349,34905,910236,Rio Chiquito,Stream,NM,35,Taos,55,361044N,1054212W,                 36,               -106,360238N,1053823W,36.04392,-105.64,2285,Penasco
      910237.000000,Rio Frijoles,          35.965025,        -105.904187,34906,910237,Rio Frijoles,Stream,NM,35,Santa Fe,49,355754N,1055415W,                 36,               -106,355414N,1055415W,35.90392,-105.904,1974,Cundiyo
      910239.000000,Rio Gallina,          36.370571,        -106.678648,34907,910239,Rio Gallina,Stream,NM,35,Rio Arrib,39,362214N,1064043W,                 36,               -107,360721N,1065021W,36.12252,-106.839,1958,Laguna Pe
      910240.000000,Rio Grande del Rancho,          36.389192,        -105.633346,34908,910240,Rio Grande del Rancho,Stream,NM,35,Taos,55,362321N,1053800W,                 36,               -106,361342N,1052548W,36.22836,-105.43,2049,Los Cordo
      910242.000000,Rio Hondo,          33.370934,        -104.399133,34909,910242,Rio Hondo,Stream,NM,35,Chaves,5,332215N,1042357W,                 33,               -104,332254N,1051617W,33.38176,-105.271,1051,South Spr
      910243.000000,Rio Hondo,          36.536412,        -105.660289,34910,910243,Rio Hondo,Stream,NM,35,Taos,55,363211N,1053937W,                 37,               -106,363640N,1052542W,36.61114,-105.428,2085,Arroyo Ho
      910244.000000,Rio Lucero,          36.413637,        -105.589456,34911,910244,Rio Lucero,Stream,NM,35,Taos,55,362449N,1053522W,                 36,               -106,363216N,1052459W,36.53781,-105.416,2097,Taos
      910248.000000,Rio Mora,          35.776143,        -105.659462,34912,910248,Rio Mora,Stream,NM,35,San Migue,47,354634N,1053934W,                 36,               -106,355718N,1052958W,35.95503,-105.499,2405,Cowles
      910249.000000,Rio Nutria,          35.110866,        -108.715637,34913,910249,Rio Nutria,Stream,NM,35,McKinley,31,350639N,1084256W,                 35,               -109,352048N,1082349W,35.34669,-108.397,1988,Horsehead
      910250.000000,Rio Nutritas,          36.852237,        -106.174746,34914,910250,Rio Nutritas,Stream,NM,35,Rio Arrib,39,365108N,1061029W,                 37,               -106,364727N,1061518W,36.79085,-106.255,2726,Broke Off
      910251.000000,Rio Pescado,          35.110588,        -108.715637,34915,910251,Rio Pescado,Stream,NM,35,McKinley,31,350638N,1084256W,                 35,               -109,345958N,1082458W,34.99948,-108.416,1988,Horsehead
      910253.000000,Rio Puerco,          36.264184,        -106.523369,34916,910253,Rio Puerco,Stream,NM,35,Rio Arrib,39,361551N,1063124W,                 36,               -107,360455N,1064612W,36.08196,-106.77,1873,Echo Amph
      910255.000000,Rio Ruidoso,          33.382033,        -105.271096,34917,910255,Rio Ruidoso,Stream,NM,35,Lincoln,27,332255N,1051616W,                 33,               -105,332011N,1054432W,33.33647,-105.742,1579,San Patri
      910256.000000,Rio Salado,          34.273122,        -106.858637,34918,910256,Rio Salado,Stream,NM,35,Socorro,53,341623N,1065131W,                 34,               -107,342944N,1075330W,34.49561,-107.892,1426,La Joya
      910258.000000,Rio San Leonardo,          36.044749,        -105.673627,34919,910258,Rio San Leonardo,Stream,NM,35,Rio Arrib,39,360241N,1054025W,                 36,               -106,360005N,1053858W,36.00139,-105.649,2724,El Valle
