X,Y,ObjectId,Locationid,Permitid,Site_Name,Address1,City,Zip,County,Primarywaste_Type,Primaryoperation_Type,Permitstatus,Permitexpdate,Latitude,Longitude,Status
-8864842.0446,4323896.7747,63,P0452,41K-LCID-,Coble Demo Landfill,Ruralview Road,Gibsonville,27249,Guilford,LCID,LF,InactiveClosed,-,36.168973,-79.634231,Closed
-8888320.6611,4300661.1381,64,P0453,41L-DEMO-,L. Baynes Demo Landfill,Montview Street,Greensboro,27406,Guilford,CD,LF,InactiveClosed,-,36.000289,-79.845143,Closed
-8894715.8545,4317780.1255,65,P0454,41M-DEMO-,Fitzgerald Demo Landfill,Flemming Street,Greensboro,27410,Guilford,CD,LF,InactiveClosed,-,36.124603,-79.902592,Closed
-9224792.5049,4238832.2772,66,P0455,44A-LCID-1992,Haywood County Landfill,Incinerator Road,Canton,28721,Haywood,LCID,LF,InactiveClosed,-,35.54967,-82.867721,Closed
-8974867.7803,4232682.101,67,P0456,13C-DEMO-,"Fieldcrest Cannon, Inc.",Loop Road,Kannapolis,28081,Cabarrus,CD,LF,InactiveClosed,-,35.504707,-80.622609,Closed
-8900773.1933,4336393.6607,68,P0460,79I-DEMO-,R.H. Morgan LCID Landfill,NC Hwy 68,Stokesdale,27357,Rockingham,CD,LF,InactiveClosed,-,36.259547,-79.957006,Closed
-8671881.9525,4044864.7785,69,P0462,65E-LCID-,Congleton Demo / Cypree Landfill,Carolina Beach Road,Wilmington,28428,New Hanover,LCID,LF,InactiveClosed,-,34.119541,-77.900841,Closed
-8711683.1232,4034718.534,70,P0464,10E-LCID-1993,Brunswick County LCID Landfill,172 Landfill Road NE,Bolivia,28422,Brunswick,LCID,LF,Active,9/16/2020,34.044051,-78.258381,Closed
-8687602.0457,4023819.745,71,P0465,10D-DEMO-,Kenneth McClain Landscaping,PO Box 10381,Southport,28461,Brunswick,CD,LF,InactiveClosed,-,33.962887,-78.042057,Closed
-8565166.6358,4152627.3091,72,P0466,2505-CDLF-,Phoenix Recycling Site #1 (stockpiled 1999),899 U.S. Hwy 70 W.,Havelock,28532,Craven,CD,LF,InactiveClosed,-,34.917146,-76.942201,Closed
